id_index,id_index_new,id_index_n,start_time,end_time,work_place_id,work_place,school_id,school,academy_id,academy
00250000000039344000,00250000000039344001,9574879_1,1986-10-1,1989-4-1,00151000000000000000,四川省,00333333300000022000,四川大学,00333333300000022000,
00250000000039344000,00250000000039344003,9574879_3,1997-9-1,1999-12-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000039344000,00250000000039344004,9574879_4,1981-9-1,1984-8-1,00151000000000000000,四川省,00333333300000135000,四川省宜宾农业学校,00333333300000135000,
00250000000004172000,00250000000004172001,9575065_1,1986-9-1,1988-7-1,00131020000000000000,上海市县,00333333300003467000,万县地委党校,00333333300003467000,
00250000000004172000,00250000000004172005,9575065_5,1978-9-1,1980-8-1,00151000000000000000,四川省,00333333300000031000,四川省万县农业学校,00333333300000031000,
00250000000030318000,00250000000030318002,9575377_2,1995-9-1,1998-6-1,00151000000000000000,四川省,00333333300000004000,四川省委党校,00333333300000004000,
00250000000030318000,00250000000030318003,9575377_3,1998-9-1,2000-11-1,00150000000000000000,重庆市,00333333300000138000,中共重庆大学,00333333300000138000,
00263000000032055000,00263000000032055001,9575384_1,1990-9-1,1991-8-1,00131020000000000000,上海市县,00333333300000019000,复旦大学,00333333300000019039,国际政治系
00263000000032055000,00263000000032055003,9575384_3,2002-9-1,2002-12-1,00113052600000000000,邢台市任县,00333333300000221000,国家行政学院,00333333300000221000,
00263000000032055000,00263000000032055004,9575384_4,1981-9-1,1985-7-1,00163000000000000000,青海省,00333333300001333000,青海民族学院,00333333300001333000,
00250000000043283000,00250000000043283001,9575568_1,1988-9-1,1990-7-1,00131020000000000000,上海市县,00333333300003467000,万县地委党校,00333333300003467000,
00250000000043283000,00250000000043283002,9575568_2,1997-9-1,1998-1-1,00161052100000000000,渭南市华县,00333333300000017000,清华大学,00333333300000017019,经济管理学院
00250000000043283000,00250000000043283003,9575568_3,1997-9-1,1999-12-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000043283000,00250000000043283005,9575568_5,1979-9-1,1982-7-1,00151000000000000000,四川省,00333333300004595000,四川省万县师范学校,00333333300004595000,
00243042400026882000,00243042400026882002,9576085_2,1992-9-1,1996-6-1,00143000000000000000,湖南省,00333333300000188000,湖南师范大学,00333333300000188000,
