location_name,location_id,previous_location_id
晋源区,00114011000000000000,00114010000000000000
清徐县,00114012100000000000,00114010000000000000
阳曲县,00114012200000000000,00114010000000000000
娄烦县,00114012300000000000,00114010000000000000
古交市,00114018100000000000,00114000000000000000
大同市,00114020000000000000,00114000000000000000
市辖区,00114020100000000000,00114020000000000000
城区,00114020200000000000,00114020000000000000
矿区,00114020300000000000,00114020000000000000
南郊区,00114021100000000000,00114020000000000000
新荣区,00114021200000000000,00114020000000000000
阳高县,00114022100000000000,00114020000000000000
天镇县,00114022200000000000,00114020000000000000
广灵县,00114022300000000000,00114020000000000000
灵丘县,00114022400000000000,00114020000000000000
浑源县,00114022500000000000,00114020000000000000
左云县,00114022600000000000,00114020000000000000
大同县,00114022700000000000,00114020000000000000
阳泉市,00114030000000000000,00114000000000000000
市辖区,00114030100000000000,00114030000000000000
城区,00114030200000000000,00114030000000000000
矿区,00114030300000000000,00114030000000000000
郊区,00114031100000000000,00114030000000000000
平定县,00114032100000000000,00114030000000000000
盂县,00114032200000000000,00114030000000000000
长治市,00114040000000000000,00114000000000000000
市辖区,00114040100000000000,00114040000000000000
城区,00114040200000000000,00114040000000000000
郊区,00114041100000000000,00114040000000000000
长治县,00114042100000000000,00114040000000000000
襄垣县,00114042300000000000,00114040000000000000
屯留县,00114042400000000000,00114040000000000000
平顺县,00114042500000000000,00114040000000000000
黎城县,00114042600000000000,00114040000000000000
壶关县,00114042700000000000,00114040000000000000
长子县,00114042800000000000,00114040000000000000
武乡县,00114042900000000000,00114040000000000000
沁县,00114043000000000000,00114040000000000000
沁源县,00114043100000000000,00114040000000000000
潞城市,00114048100000000000,00114000000000000000
晋城市,00114050000000000000,00114000000000000000
晋城市市辖区,00114050100000000000,00114050000000000000
城区,00114050200000000000,00114050000000000000
沁水县,00114052100000000000,00114050000000000000
阳城县,00114052200000000000,00114050000000000000
陵川县,00114052400000000000,00114050000000000000
泽州县,00114052500000000000,00114050000000000000
高平市,00114058100000000000,00114000000000000000
朔州市,00114060000000000000,00114000000000000000
市辖区,00114060100000000000,00114060000000000000
朔城区,00114060200000000000,00114060000000000000
平鲁区,00114060300000000000,00114060000000000000
山阴县,00114062100000000000,00114060000000000000
应县,00114062200000000000,00114060000000000000
右玉县,00114062300000000000,00114060000000000000
怀仁县,00114062400000000000,00114060000000000000
晋中市,00114070000000000000,00114000000000000000
市辖区,00114070100000000000,00114070000000000000
榆次区,00114070200000000000,00114070000000000000
榆社县,00114072100000000000,00114070000000000000
左权县,00114072200000000000,00114070000000000000
和顺县,00114072300000000000,00114070000000000000
昔阳县,00114072400000000000,00114070000000000000
寿阳县,00114072500000000000,00114070000000000000
太谷县,00114072600000000000,00114070000000000000
祁县,00114072700000000000,00114070000000000000
平遥县,00114072800000000000,00114070000000000000
灵石县,00114072900000000000,00114070000000000000
介休市,00114078100000000000,00114000000000000000
运城市,00114080000000000000,00114000000000000000
市辖区,00114080100000000000,00114080000000000000
盐湖区,00114080200000000000,00114080000000000000
临猗县,00114082100000000000,00114080000000000000
万荣县,00114082200000000000,00114080000000000000
闻喜县,00114082300000000000,00114080000000000000
稷山县,00114082400000000000,00114080000000000000
新绛县,00114082500000000000,00114080000000000000
绛县,00114082600000000000,00114080000000000000
垣曲县,00114082700000000000,00114080000000000000
夏县,00114082800000000000,00114080000000000000
平陆县,00114082900000000000,00114080000000000000
芮城县,00114083000000000000,00114080000000000000
永济市,00114088100000000000,00114000000000000000
河津市,00114088200000000000,00114000000000000000
忻州市,00114090000000000000,00114000000000000000
市辖区,00114090100000000000,00114090000000000000
忻府区,00114090200000000000,00114090000000000000
定襄县,00114092100000000000,00114090000000000000
五台县,00114092200000000000,00114090000000000000
代县,00114092300000000000,00114090000000000000
繁峙县,00114092400000000000,00114090000000000000
宁武县,00114092500000000000,00114090000000000000
静乐县,00114092600000000000,00114090000000000000
神池县,00114092700000000000,00114090000000000000
五寨县,00114092800000000000,00114090000000000000
岢岚县,00114092900000000000,00114090000000000000
河曲县,00114093000000000000,00114090000000000000
保德县,00114093100000000000,00114090000000000000
偏关县,00114093200000000000,00114090000000000000
原平市,00114098100000000000,00114000000000000000
临汾市,00114100000000000000,00114000000000000000
市辖区,00114100100000000000,00114100000000000000
尧都区,00114100200000000000,00114100000000000000
曲沃县,00114102100000000000,00114100000000000000
翼城县,00114102200000000000,00114100000000000000
襄汾县,00114102300000000000,00114100000000000000
洪洞县,00114102400000000000,00114100000000000000
古县,00114102500000000000,00114100000000000000
安泽县,00114102600000000000,00114100000000000000
浮山县,00114102700000000000,00114100000000000000
吉县,00114102800000000000,00114100000000000000
乡宁县,00114102900000000000,00114100000000000000
大宁县,00114103000000000000,00114100000000000000
隰县,00114103100000000000,00114100000000000000
永和县,00114103200000000000,00114100000000000000
蒲县,00114103300000000000,00114100000000000000
汾西县,00114103400000000000,00114100000000000000
侯马市,00114108100000000000,00114000000000000000
霍州市,00114108200000000000,00114000000000000000
吕梁市,00114110000000000000,00114000000000000000
市辖区,00114110100000000000,00114110000000000000
离石区,00114110200000000000,00114110000000000000
文水县,00114112100000000000,00114110000000000000
交城县,00114112200000000000,00114110000000000000
兴县,00114112300000000000,00114110000000000000
临县,00114112400000000000,00114110000000000000
柳林县,00114112500000000000,00114110000000000000
石楼县,00114112600000000000,00114110000000000000
岚县,00114112700000000000,00114110000000000000
方山县,00114112800000000000,00114110000000000000
中阳县,00114112900000000000,00114110000000000000
交口县,00114113000000000000,00114110000000000000
孝义市,00114118100000000000,00114000000000000000
汾阳市,00114118200000000000,00114000000000000000
内蒙古自治区,00115000000000000000,00111111100000000000
呼和浩特市,00115010000000000000,00115000000000000000
市辖区,00115010100000000000,00115010000000000000
新城区,00115010200000000000,00115010000000000000
回民区,00115010300000000000,00115010000000000000
玉泉区,00115010400000000000,00115010000000000000
赛罕区,00115010500000000000,00115010000000000000
土默特左旗,00115012100000000000,00115010000000000000
托克托县,00115012200000000000,00115010000000000000
和林格尔县,00115012300000000000,00115010000000000000
清水河县,00115012400000000000,00115010000000000000
武川县,00115012500000000000,00115010000000000000
包头市,00115020000000000000,00115000000000000000
市辖区,00115020100000000000,00115020000000000000
东河区,00115020200000000000,00115020000000000000
昆都仑区,00115020300000000000,00115020000000000000
青山区,00115020400000000000,00115020000000000000
石拐区,00115020500000000000,00115020000000000000
白云鄂博矿区,00115020600000000000,00115020000000000000
九原区,00115020700000000000,00115020000000000000
土默特右旗,00115022100000000000,00115020000000000000
固阳县,00115022200000000000,00115020000000000000
达尔罕茂明安联合旗,00115022300000000000,00115020000000000000
乌海市,00115030000000000000,00115000000000000000
市辖区,00115030100000000000,00115030000000000000
海勃湾区,00115030200000000000,00115030000000000000
海南区,00115030300000000000,00115030000000000000
乌达区,00115030400000000000,00115030000000000000
赤峰市,00115040000000000000,00115000000000000000
市辖区,00115040100000000000,00115040000000000000
红山区,00115040200000000000,00115040000000000000
元宝山区,00115040300000000000,00115040000000000000
松山区,00115040400000000000,00115040000000000000
阿鲁科尔沁旗,00115042100000000000,00115040000000000000
巴林左旗,00115042200000000000,00115040000000000000
巴林右旗,00115042300000000000,00115040000000000000
林西县,00115042400000000000,00115040000000000000
克什克腾旗,00115042500000000000,00115040000000000000
翁牛特旗,00115042600000000000,00115040000000000000
喀喇沁旗,00115042800000000000,00115040000000000000
宁城县,00115042900000000000,00115040000000000000
敖汉旗,00115043000000000000,00115040000000000000
通辽市,00115050000000000000,00115000000000000000
市辖区,00115050100000000000,00115050000000000000
科尔沁区,00115050200000000000,00115050000000000000
科尔沁左翼中旗,00115052100000000000,00115050000000000000
科尔沁左翼后旗,00115052200000000000,00115050000000000000
开鲁县,00115052300000000000,00115050000000000000
库伦旗,00115052400000000000,00115050000000000000
奈曼旗,00115052500000000000,00115050000000000000
扎鲁特旗,00115052600000000000,00115050000000000000
霍林郭勒市,00115058100000000000,00115000000000000000
鄂尔多斯市,00115060000000000000,00115000000000000000
市辖区,00115060100000000000,00115060000000000000
东胜区,00115060200000000000,00115060000000000000
达拉特旗,00115062100000000000,00115060000000000000
准格尔旗,00115062200000000000,00115060000000000000
鄂托克前旗,00115062300000000000,00115060000000000000
鄂托克旗,00115062400000000000,00115060000000000000
杭锦旗,00115062500000000000,00115060000000000000
乌审旗,00115062600000000000,00115060000000000000
伊金霍洛旗,00115062700000000000,00115060000000000000
呼伦贝尔市,00115070000000000000,00115000000000000000
市辖区,00115070100000000000,00115070000000000000
海拉尔区,00115070200000000000,00115070000000000000
阿荣旗,00115072100000000000,00115070000000000000
莫力达瓦达斡尔族自治旗,00115072200000000000,00115070000000000000
鄂伦春自治旗,00115072300000000000,00115070000000000000
鄂温克族自治旗,00115072400000000000,00115070000000000000
陈巴尔虎旗,00115072500000000000,00115070000000000000
新巴尔虎左旗,00115072600000000000,00115070000000000000
新巴尔虎右旗,00115072700000000000,00115070000000000000
满洲里市,00115078100000000000,00115000000000000000
牙克石市,00115078200000000000,00115000000000000000
扎兰屯市,00115078300000000000,00115000000000000000
额尔古纳市,00115078400000000000,00115000000000000000
根河市,00115078500000000000,00115000000000000000
巴彦淖尔市,00115080000000000000,00115000000000000000
市辖区,00115080100000000000,00115080000000000000
临河区,00115080200000000000,00115080000000000000
五原县,00115082100000000000,00115080000000000000
磴口县,00115082200000000000,00115080000000000000
乌拉特前旗,00115082300000000000,00115080000000000000
乌拉特中旗,00115082400000000000,00115080000000000000
乌拉特后旗,00115082500000000000,00115080000000000000
杭锦后旗,00115082600000000000,00115080000000000000
乌兰察布市,00115090000000000000,00115000000000000000
市辖区,00115090100000000000,00115090000000000000
集宁区,00115090200000000000,00115090000000000000
卓资县,00115092100000000000,00115090000000000000
化德县,00115092200000000000,00115090000000000000
商都县,00115092300000000000,00115090000000000000
兴和县,00115092400000000000,00115090000000000000
凉城县,00115092500000000000,00115090000000000000
察哈尔右翼前旗,00115092600000000000,00115090000000000000
察哈尔右翼中旗,00115092700000000000,00115090000000000000
察哈尔右翼后旗,00115092800000000000,00115090000000000000
四子王旗,00115092900000000000,00115090000000000000
丰镇市,00115098100000000000,00115000000000000000
乌兰浩特市,00115220100000000000,00115000000000000000
阿尔山市,00115220200000000000,00115000000000000000
科尔沁右翼前旗,00115222100000000000,00115220200000000000
科尔沁右翼中旗,00115222200000000000,00115220200000000000
扎赉特旗,00115222300000000000,00115220200000000000
突泉县,00115222400000000000,00115220200000000000
二连浩特市,00115250100000000000,00115000000000000000
锡林浩特市,00115250200000000000,00115000000000000000
阿巴嘎旗,00115252200000000000,00115250200000000000
苏尼特左旗,00115252300000000000,00115250200000000000
苏尼特右旗,00115252400000000000,00115250200000000000
东乌珠穆沁旗,00115252500000000000,00115250200000000000
西乌珠穆沁旗,00115252600000000000,00115250200000000000
太仆寺旗,00115252700000000000,00115250200000000000
镶黄旗,00115252800000000000,00115250200000000000
正镶白旗,00115252900000000000,00115250200000000000
正蓝旗,00115253000000000000,00115250200000000000
多伦县,00115253100000000000,00115250200000000000
阿拉善左旗,00115292100000000000,00115250200000000000
阿拉善右旗,00115292200000000000,00115250200000000000
额济纳旗,00115292300000000000,00115250200000000000
辽宁省,00121000000000000000,00111111100000000000
沈阳市,00121010000000000000,00121000000000000000
市辖区,00121010100000000000,00121010000000000000
和平区,00121010200000000000,00121010000000000000
沈河区,00121010300000000000,00121010000000000000
大东区,00121010400000000000,00121010000000000000
皇姑区,00121010500000000000,00121010000000000000
铁西区,00121010600000000000,00121010000000000000
苏家屯区,00121011100000000000,00121010000000000000
东陵区,00121011200000000000,00121010000000000000
沈北新区,00121011300000000000,00121010000000000000
于洪区,00121011400000000000,00121010000000000000
辽中县,00121012200000000000,00121010000000000000
康平县,00121012300000000000,00121010000000000000
法库县,00121012400000000000,00121010000000000000
新民市,00121018100000000000,00121000000000000000
大连市,00121020000000000000,00121000000000000000
市辖区,00121020100000000000,00121020000000000000
中山区,00121020200000000000,00121020000000000000
西岗区,00121020300000000000,00121020000000000000
沙河口区,00121020400000000000,00121020000000000000
甘井子区,00121021100000000000,00121020000000000000
旅顺口区,00121021200000000000,00121020000000000000
金州区,00121021300000000000,00121020000000000000
长海县,00121022400000000000,00121020000000000000
瓦房店市,00121028100000000000,00121000000000000000
普兰店市,00121028200000000000,00121000000000000000
庄河市,00121028300000000000,00121000000000000000
鞍山市,00121030000000000000,00121000000000000000
市辖区,00121030100000000000,00121030000000000000
铁东区,00121030200000000000,00121030000000000000
铁西区,00121030300000000000,00121030000000000000
立山区,00121030400000000000,00121030000000000000
千山区,00121031100000000000,00121030000000000000
台安县,00121032100000000000,00121030000000000000
岫岩满族自治县,00121032300000000000,00121030000000000000
海城市,00121038100000000000,00121000000000000000
抚顺市,00121040000000000000,00121000000000000000
市辖区,00121040100000000000,00121040000000000000
新抚区,00121040200000000000,00121040000000000000
东洲区,00121040300000000000,00121040000000000000
望花区,00121040400000000000,00121040000000000000
顺城区,00121041100000000000,00121040000000000000
抚顺县,00121042100000000000,00121040000000000000
新宾满族自治县,00121042200000000000,00121040000000000000
清原满族自治县,00121042300000000000,00121040000000000000
本溪市,00121050000000000000,00121000000000000000
市辖区,00121050100000000000,00121050000000000000
平山区,00121050200000000000,00121050000000000000
溪湖区,00121050300000000000,00121050000000000000
