id_index,officer_name,place_of_birth_id
"00200000000009998000","王岩辞","00100000000000000000"
"00200000000010002000","兰隽","00100000000000000000"
"00200000000010011000","吴应德","00100000000000000000"
"00200000000010031000","贾锋","00100000000000000000"
"00200000000010053000","罗福强","00100000000000000000"
"00200000000010071000","叶向东","00100000000000000000"
"00200000000010097000","杨凤池","00100000000000000000"
"00200000000010132000","雷建平","00100000000000000000"
"00200000000010153000","沈卫峰","00100000000000000000"
"00200000000010170000","袁民","00100000000000000000"
"00200000000010205000","张悟本","00100000000000000000"
"00200000000010215000","崔景英","00100000000000000000"
"00200000000010216000","江礼权","00100000000000000000"
"00200000000010243000","钱跃竑","00100000000000000000"
"00200000000010247000","薛晓林","00100000000000000000"
"00200000000010256000","庄茁","00100000000000000000"
"00200000000010264000","佟家栋","00100000000000000000"
"00200000000010271000","董玉宽","00100000000000000000"
"00200000000010274000","孙春山","00100000000000000000"
"00200000000010278000","陈信元","00100000000000000000"
"00200000000010304000","贾明德","00100000000000000000"
"00200000000010341000","马海峰","00100000000000000000"
"00200000000010346000","王利亚","00100000000000000000"
"00200000000010352000","黄余平","00100000000000000000"
"00200000000010356000","傅伯杰","00100000000000000000"
"00200000000010373000","杨德聪","00100000000000000000"
"00200000000010389000","郭旭","00100000000000000000"
"00200000000010404000","于春迟","00100000000000000000"
"00200000000010409000","丁建成","00100000000000000000"
"00200000000010410000","周庆旗","00100000000000000000"
"00200000000010413000","雷解民","00100000000000000000"
"00200000000010415000","贾岷岫","00100000000000000000"
"00200000000010422000","余晓韶","00100000000000000000"
"00200000000010477000","陈军斌","00100000000000000000"
"00200000000010485000","蒋晶洁","00100000000000000000"
"00200000000010487000","陈楚龙","00100000000000000000"
"00200000000010490000","陈岳堂","00100000000000000000"
"00200000000010492000","姜志俭","00100000000000000000"
"00200000000010518000","顾永庚","00100000000000000000"
"00200000000010530000","彭芝兰","00100000000000000000"
"00200000000010538000","卢根娣","00100000000000000000"
"00200000000010568000","李泉佃","00100000000000000000"
"00200000000010581000","张明渝","00100000000000000000"
"00200000000010595000","龚绍林","00100000000000000000"
"00200000000010596000","邓伟","00100000000000000000"
